timestamp,close,close_right,close_right,close_right,close_right,close_right,close_right,close_right,close_right,close_right
2023-07-24,29163.0,1849.95,239.05,0.7009,0.305,0.07414,0.7276,23.346,5.206,89.06
2023-07-25,29216.2,1857.95,237.9,0.7074,0.3037,0.0818,0.7075,23.268,5.169,89.44
2023-07-26,29336.9,1871.77,238.95,0.7159,0.3095,0.0779,0.7223,25.174,5.233,90.42
2023-07-27,29211.3,1861.46,240.75,0.7133,0.3077,0.07757,0.7165,25.091,5.233,90.52
2023-07-28,29299.2,1874.0,242.0,0.7117,0.3103,0.07716,0.7089,24.812,5.213,91.36
2023-07-29,29340.4,1880.24,242.65,0.7118,0.3129,0.08006,0.7187,25.175,5.245,94.19
2023-07-30,29271.2,1862.03,242.65,0.7033,0.3155,0.07799,0.6972,24.25,5.181,92.59
2023-07-31,29223.4,1857.02,241.05,0.6974,0.3085,0.07777,0.6871,23.707,5.102,92.18
2023-08-01,29700.8,1873.89,247.85,0.7066,0.3102,0.07807,0.7015,24.031,5.197,93.89
2023-08-02,29171.5,1839.7,240.6,0.6847,0.3013,0.0742,0.6822,23.147,5.055,87.48
2023-08-03,29180.2,1836.1,241.2,0.6633,0.2922,0.07356,0.6682,22.809,4.974,82.46
2023-08-04,29120.2,1830.73,241.7,0.6353,0.2934,0.07346,0.664,22.808,4.99,82.12
2023-08-05,29075.7,1836.5,243.25,0.6284,0.2939,0.07565,0.6669,22.644,4.969,83.08
2023-08-06,29089.3,1830.42,243.25,0.6227,0.2923,0.07427,0.6693,23.196,5.002,82.56
2023-08-07,29215.7,1828.98,242.0,0.619,0.2909,0.07349,0.666,23.099,4.965,82.43
2023-08-08,29775.6,1856.34,245.35,0.6415,0.2974,0.07494,0.6856,24.21,5.057,83.84
2023-08-09,29584.5,1855.57,243.9,0.643,0.3014,0.07535,0.69,24.398,5.057,84.01
2023-08-10,29459.6,1852.49,241.2,0.6329,0.2963,0.07585,0.6852,24.606,5.0,83.05
2023-08-11,29435.2,1849.11,239.8,0.6313,0.2939,0.07569,0.6812,24.609,5.002,83.55
2023-08-12,29432.0,1850.19,240.15,0.6269,0.292,0.07669,0.6819,24.903,5.035,83.41
2023-08-13,29306.4,1841.4,239.9,0.6258,0.2906,0.07478,0.6774,24.23,4.985,81.94
2023-08-14,29431.4,1845.78,240.45,0.6338,0.2907,0.07465,0.6793,25.164,4.984,82.04
2023-08-15,29205.9,1829.2,236.7,0.6098,0.2819,0.07087,0.6388,23.924,4.812,79.23
2023-08-16,28738.1,1808.06,232.05,0.5844,0.2746,0.06718,0.6236,22.815,4.667,74.52
2023-08-17,26615.9,1680.99,217.9,0.5061,0.2553,0.06105,0.5731,21.746,4.428,64.72
2023-08-18,26057.8,1661.35,215.85,0.5056,0.2637,0.06319,0.5773,21.38,4.507,63.91
2023-08-19,26100.0,1669.99,216.75,0.5195,0.2687,0.06371,0.5764,21.875,4.51,64.06
2023-08-20,26190.2,1684.66,216.4,0.5379,0.2703,0.06379,0.5797,21.757,4.513,65.19
2023-08-21,26126.8,1667.59,210.05,0.524,0.2626,0.06248,0.5568,21.191,4.422,66.9
2023-08-22,26054.8,1634.86,210.85,0.5203,0.2585,0.06252,0.5485,20.559,4.417,64.78
2023-08-23,26439.0,1679.8,216.5,0.5295,0.268,0.06374,0.5569,21.7,4.482,65.59
2023-08-24,26180.1,1660.75,218.85,0.5184,0.2656,0.06306,0.5468,21.039,4.418,64.84
2023-08-25,26061.3,1653.76,218.45,0.5254,0.2609,0.0631,0.546,20.401,4.485,65.09
2023-08-26,26004.8,1647.21,216.35,0.5224,0.2609,0.06284,0.5483,20.271,4.502,64.96
2023-08-27,26086.7,1658.32,218.35,0.5235,0.2632,0.06312,0.5558,20.784,4.487,65.33
2023-08-28,26108.0,1653.36,218.8,0.5224,0.2676,0.06345,0.562,20.552,4.606,65.5
2023-08-29,27705.8,1729.51,226.8,0.5393,0.2725,0.06635,0.5935,21.783,4.67,68.85
2023-08-30,27288.0,1705.05,223.8,0.5279,0.2653,0.06581,0.5746,20.803,4.529,67.6
2023-08-31,25930.4,1646.01,216.65,0.5104,0.2554,0.06372,0.5491,19.856,4.265,63.81
2023-09-01,25795.5,1629.06,213.7,0.4909,0.2557,0.06385,0.5403,19.374,4.211,62.94
2023-09-02,25857.3,1637.14,214.25,0.4982,0.2561,0.06342,0.5405,19.48,4.255,63.98
2023-09-03,25961.8,1635.85,214.4,0.5042,0.2557,0.06312,0.5419,19.604,4.255,63.87
2023-09-04,25815.4,1630.66,215.15,0.508,0.2563,0.06321,0.5537,19.513,4.255,63.64
2023-09-05,25777.7,1634.74,214.45,0.5046,0.2579,0.06399,0.558,20.272,4.252,63.08
2023-09-06,25745.1,1633.06,215.25,0.5031,0.2576,0.0636,0.5585,19.624,4.259,62.73
2023-09-07,26176.1,1647.8,217.05,0.5047,0.2579,0.0636,0.5551,19.899,4.281,63.57
2023-09-08,25899.9,1636.33,214.6,0.5043,0.2543,0.06364,0.5435,19.59,4.249,62.53
2023-09-09,25891.6,1635.29,214.25,0.5033,0.2533,0.06337,0.5394,19.431,4.234,63.0
2023-09-10,25830.0,1617.29,212.35,0.4967,0.2491,0.06127,0.5238,18.267,4.145,61.11
2023-09-11,25155.5,1552.19,205.95,0.4738,0.2421,0.06045,0.5035,17.733,3.985,58.75
2023-09-12,25828.3,1593.16,210.7,0.4799,0.2456,0.06086,0.5062,17.906,3.982,59.89
