timestamp,timestamp,open,high,low,close,volume,turnover
2020-03-30 00:00:00,1585526400000,5904.5,5997.0,5886.0,5991.5,1155.769,6924789.9635
2020-03-30 04:00:00,1585540800000,5991.5,6319.0,5991.5,6238.0,1243.804,7758849.352
2020-03-30 08:00:00,1585555200000,6238.0,6386.0,6195.0,6351.0,985.573,6259374.123
2020-03-30 12:00:00,1585569600000,6351.0,6422.5,6261.5,6340.0,857.444,5436194.96
2020-03-30 16:00:00,1585584000000,6340.0,6389.5,6309.5,6363.0,1151.529,7327179.027
2020-03-30 20:00:00,1585598400000,6363.0,6567.5,6362.5,6389.0,509.438,3254799.382
2020-03-31 00:00:00,1585612800000,6389.0,6514.0,6382.0,6444.0,551.352,3552912.288
2020-03-31 04:00:00,1585627200000,6444.0,6463.0,6396.0,6448.5,2199.454,14183179.119
2020-03-31 08:00:00,1585641600000,6448.5,6498.5,6342.5,6385.5,797.714,5093802.747
2020-03-31 12:00:00,1585656000000,6385.5,6494.5,6318.0,6447.5,885.85,5711517.875
2020-03-31 16:00:00,1585670400000,6447.5,6482.5,6401.5,6458.0,652.362,4212953.796
2020-03-31 20:00:00,1585684800000,6458.0,6487.5,6401.0,6425.0,426.639,2741155.575
2020-04-01 00:00:00,1585699200000,6425.0,6425.0,6256.5,6365.5,1702.139,10834965.8045
2020-04-01 04:00:00,1585713600000,6365.5,6369.0,6266.5,6321.5,1687.032,10664572.788
2020-04-01 08:00:00,1585728000000,6321.5,6321.5,6260.5,6287.0,1787.26,11236503.62
2020-04-01 12:00:00,1585742400000,6287.0,6327.5,6166.5,6229.5,1985.517,12368778.1515
2020-04-01 16:00:00,1585756800000,6229.5,6229.5,6158.5,6198.5,453.128,2808713.908
2020-04-01 20:00:00,1585771200000,6198.5,6681.0,6190.5,6641.5,906.901,6023182.9915
2020-04-02 00:00:00,1585785600000,6641.5,6737.0,6553.0,6602.5,1576.283,10407408.5075
2020-04-02 04:00:00,1585800000000,6602.5,6640.5,6563.5,6640.5,232.27,1542388.935
2020-04-02 08:00:00,1585814400000,6640.5,6685.0,6610.0,6685.0,1163.192,7775938.52
2020-04-02 12:00:00,1585828800000,6685.0,6817.5,6650.5,6808.5,1480.032,10076797.872
2020-04-02 16:00:00,1585843200000,6808.5,7208.5,6787.5,6845.5,4623.689,31651463.0495
2020-04-02 20:00:00,1585857600000,6845.5,6845.5,6681.0,6824.0,19.004,129683.296
2020-04-03 00:00:00,1585872000000,6824.0,6830.0,6773.5,6773.5,102.035,691134.0725
2020-04-03 04:00:00,1585886400000,6773.5,6858.0,6757.0,6850.0,271.694,1861103.9
2020-04-03 08:00:00,1585900800000,6850.0,6962.5,6850.0,6961.5,462.383,3218879.2545
2020-04-03 12:00:00,1585915200000,6961.5,6979.0,6714.5,6714.5,438.699,2945644.4355
2020-04-03 16:00:00,1585929600000,6714.5,6780.0,6708.0,6754.0,1.558,10522.732
2020-04-03 20:00:00,1585944000000,6754.0,6765.5,6687.5,6758.0,8.898,60132.684
2020-04-04 00:00:00,1585958400000,6758.0,6765.0,6718.5,6727.0,0.549,3693.123
2020-04-04 04:00:00,1585972800000,6727.0,6729.0,6709.0,6709.0,1283.461,8610739.849
2020-04-04 08:00:00,1585987200000,6709.0,6870.0,6659.5,6660.5,374.92,2497154.66
2020-04-04 12:00:00,1586001600000,6660.5,6748.0,6660.5,6725.0,1002.175,6739626.875
2020-04-04 16:00:00,1586016000000,6725.0,6796.5,6715.0,6741.0,1318.171,8885790.711
2020-04-04 20:00:00,1586030400000,6741.0,6963.5,6741.0,6851.5,3640.854,24945311.181
2020-04-05 00:00:00,1586044800000,6851.5,6882.0,6790.0,6794.5,1864.972,12671552.254
2020-04-05 04:00:00,1586059200000,6794.5,6827.0,6735.5,6768.5,1807.634,12234970.729
2020-04-05 08:00:00,1586073600000,6768.5,6813.5,6742.0,6773.5,2060.29,13955374.315
2020-04-05 12:00:00,1586088000000,6773.5,6812.5,6758.5,6779.0,1510.148,10237293.292
2020-04-05 16:00:00,1586102400000,6779.0,6821.0,6678.5,6788.5,1856.96,12605972.96
2020-04-05 20:00:00,1586116800000,6788.5,6804.5,6718.0,6768.5,1770.868,11986120.058
2020-04-06 00:00:00,1586131200000,6768.5,6871.0,6766.0,6840.0,1987.893,13597188.12
2020-04-06 04:00:00,1586145600000,6840.0,7094.5,6840.0,7025.0,5453.367,38309903.175
2020-04-06 08:00:00,1586160000000,7025.0,7139.0,7022.5,7093.0,2239.088,15881851.184
2020-04-06 12:00:00,1586174400000,7093.0,7158.5,7043.0,7137.0,2318.771,16549068.627
2020-04-06 16:00:00,1586188800000,7137.0,7298.5,7097.0,7266.0,2353.138,17097900.708
2020-04-06 20:00:00,1586203200000,7266.0,7362.0,7192.5,7322.5,2498.643,18296313.3675
2020-04-07 00:00:00,1586217600000,7322.5,7444.0,7260.0,7320.0,2512.027,18388037.64
2020-04-07 04:00:00,1586232000000,7320.0,7500.0,7228.5,7373.0,2968.732,21888461.036
2020-04-07 08:00:00,1586246400000,7373.0,7435.0,7317.5,7382.5,2099.84,15502068.8
2020-04-07 12:00:00,1586260800000,7382.5,7447.5,7260.5,7313.0,2883.242,21085148.746
2020-04-07 16:00:00,1586275200000,7313.0,7379.0,7280.0,7282.0,2675.056,19479757.792
2020-04-07 20:00:00,1586289600000,7282.0,7284.5,7079.5,7193.0,2539.641,18267637.713
2020-04-08 00:00:00,1586304000000,7193.0,7381.5,7150.0,7349.0,2819.798,20722695.502
2020-04-08 04:00:00,1586318400000,7349.0,7411.0,7286.5,7317.0,4720.844,34542415.548
2020-04-08 08:00:00,1586332800000,7317.0,7335.5,7212.0,7286.0,9825.042,71585256.012
2020-04-08 12:00:00,1586347200000,7286.0,7332.0,7200.5,7274.5,10013.165,72840768.7925
2020-04-08 16:00:00,1586361600000,7274.5,7346.5,7250.5,7303.5,10384.761,75845101.9635
2020-04-08 20:00:00,1586376000000,7303.5,7386.5,7284.0,7357.5,10855.814,79871651.505
2020-04-09 00:00:00,1586390400000,7357.5,7365.0,7257.0,7282.0,12156.07,88520501.74
2020-04-09 04:00:00,1586404800000,7282.0,7332.0,7239.0,7325.5,16006.167,117253176.3585
