product_name,count
CANALS NADAL - CAVES & VINS,1
CANARIAS,1
CAÑAS Y BARRO (VIÑAS DEL PORTILLO),1
CAN AXARTELL,1
CAN DESCREGUT,1
CAN FEIXES,1
CAN LEANDRO,1
CAN LLEÓ DE VILANOVETA,1
CAN MAJORAL,1
CAN MORRAL DEL MOLÍ,1
CAN RÀFOLS DELS CAUS,1
CAN RICH,1
CANTALAPIEDRA VITICULTORES,1
CANTAMUDA,1
CANTARIÑA,1
CAN VALLES - Organic & Biodynamic,1
CAN VICH,1
CARA NORD CELLER,1
CARGO WINE,1
Carlos Enrique García Díaz,1
CARMEN F. URIARTE- VITICULTURA Y VINO,1
CARVIRESA,1
CASA BALAGUER,1
CASA DE LA ERMITA,1
CASA LA RAD,1
Casal de Armán,1
CASA LOS FRAILES,1
CASA MARIOL,1
CASA MOREIRAS,1
CASA RAVELLA,1
CASAR DE BURBIA,1
CASA ROJO BODEGAS Y VIÑEDOS,1
CASTELL D'AGE / WATERSISTERS,1
CASTELL D'ENCUS - FERRER BOBET,1
CASTELL D'OR,1
CASTELL DEL REMEI,1
CASTILLO DE MENDOZA ORGANIC WINES,1
CASTILLO MONJARDIN,1
CASTRO VENTOSA,1
CASTÚO WINES,1
CATALAN WINES,1
CAVA JOVANI,1
CAVA ORIOL ROSSELL,1
CAVAS MAREVIA,1
CAVAS RONÏS,1
CAVA VARIAS,1
Cava Vives Ambros,1
CAVES BOHIGAS,1
CAVES JOSEP MASACHS,1
CAVES MIQUEL PONS,1
CAYETANO DEL PINO Y CIA,1
CELLER AIXALÀ ALCAIT,1
Celler Anna Rosell,1
CELLER ARRELATS,1
CELLER ARRUFÍ,1
CELLER BÀRBARA FORÉS,1
CELLER BARTOLOMÉ,1
CELLER BATEA,1
CELLER BURGOS PORTA - MAS SINÉN,1
CELLER CAIRATS,1
CELLER CAL BESSÓ - ENCASTELL,1
CELLER CAN FUMAT,1
CELLER CAN MARLÈS,1
CELLER CAN RODA,1
CELLER CARLES ANDREU,1
CELLER CASAJOU,1
CELLER CEDO ANGUERA,1
CELLER COOPERATIU DE CORNUDELLA,1
CELLER DE CAPÇANES,1
CELLER DE L'ERA,1
CELLER DEL ROURE,1
CELLER DUES VOLTES,1
CELLER EN NUMEROS VERMELLS,1
CELLER ERAVI,1
CELLER EUDALD MASSANA,1
CELLER FAMILIA NIN ORTIZ,1
CELLER GERISENA,1
CELLER GRAU I GRAU,1
CELLER HIDALGO ALBERT,1
CELLER JORDI MIRO,1
CELLER JOSEP VENTOSA CAVES I VINS (JAN VIDAL),1
CELLER KRIPTA DE AGUSTI TORELLÓ MATA,1
CELLER L'ANTIC MAGATZEM,1
CELLER LA BOTERA,1
CELLER LAURONA,1
CELLER MASADES,1
CELLER MAS RAMONEDA,1
CELLER MASROIG,1
CELLER MAS VICENÇ,1
CELLER MATALLONGA,1
CELLER MESQUIDA MORA,1
CELLER MIR,1
CELLER PALLARADES,1
CELLER PARATÓ,1
CELLER PASANAU,1
CELLER PIÑOL,1
CELLER ROSENDO ESTEVE,1
CELLER SANMARTÍ,1
CELLER SANROMÀ,1
Celler Sebastià Pastor,1
CELLERS SANT RAFEL,1
"CELLERS TARRONÉ, D.O.Terra Alta, Batea, Vinos Ecológicos",1
CELLERS UNIÓ,1
CELLER TERRA DE MARCA,1
CELLER VALL LLACH,1
CELLER VELL ESTRUCH,1
CELLER VENDRELL RIVED,1
CELLER XAVIER CLUA,1
CEPA BOSQUET,1
CÉRVOLES CELLER,1
César Principe,1
CHAMPAGNE LA PITANCERIE,1
CHAPIRETE,1
CHATÓ GAÑAN,1
CHOZAS CARRASCAL,1
CIA. VITICOLA SILEO,1
CIMS DE PORRERA / LES COUSINS,1
CINGLES BLAUS,1
CISTELLER,1
CLANDELVINO,1
CLIPEO WINES,1
CLOS ALKIO,1
CLOS DE LÔM,1
CLOS FIGUERAS,1
CLOS GALENA,1
CLOS MOGADOR,1
CLOS MONTBLANC,1
CLOS PACHEM,1
CLOS PONS,1
CLOS TERROIR,1
COCA I FITÓ,1
COLECCIÓN DE TONELES CENTENARIOS,1
COLET,1
COLLBAIX CELLER EL MOLÍ,1
COLOMA VIÑEDOS Y BODEGAS,1
Coma d'en Bonet,1
COMPAÑÍA DE VIÑEDOS IBERIAN,1
COMPAÑIA DE VINOS TELMO RODRÍGUEZ,1
CONDES DE ALBAREI,1
CONSEJO REGULADOR D.O. LA MANCHA,1
CONSEJO REGULADOR DDOO VINOS DE JEREZ Y MANZANILLA,1
CONSEJO REGULADOR DENOMINACIÓN DE ORIGEN RUEDA,1
CONSEJO REGULADOR VINOS DENOMINACION ORIGEN VALENCIA,1
"Conselleria d'Agricultura, Pesca i Medi Natural de les Illes Balears",1
CONSORCI DE VINS,1
CONTRERAS RUIZ,1
COOPERATIVA SANTA CATALINA,1
COOPER CELLARS - VINOS DEL VIENTO,1
CÓRDOBA MARTÍNEZ,1
CORPINNAT,1
CORTIJO LOS AGUILARES,1
COSTA DE ALMERÍA,1
COSTER D'EN SALA,1
COSTERDUO,1
COSTERS DEL PRIORAT,1
COSTERS DEL SIÓ,1
COTO DE GOMARIZ,1
COVIDES VINYES-CELLERS,1
CRDO PENEDÈS,1
CRISTINA CALVACHE,1
CUARTO LAGAR,1
CUENTAVIÑAS,1
CUPANI,1
