timestamp,open,high,low,close,volume,turnover
1640995200000,46209.0,46500.0,46208.5,46331.0,41.065,1903686.8665
1640996100000,46331.0,46388.0,46280.5,46374.0,27.291,1264506.8015
1640997000000,46374.0,46663.0,46370.0,46647.0,72.882,3391397.781
1640997900000,46647.0,46745.0,46587.5,46663.5,55.753,2602328.7775
1640998800000,46663.5,46755.0,46590.0,46750.0,27.179,1268328.3115
1640999700000,46750.0,46930.5,46749.5,46784.5,53.507,2505403.1045
1641000600000,46784.5,46845.0,46731.0,46758.5,66.064,3089295.649
1641001500000,46758.5,46837.0,46731.0,46786.5,30.904,1446098.689
1641002400000,46786.5,46844.0,46782.5,46837.5,16.121,754675.6215
1641003300000,46837.5,46905.0,46837.5,46843.0,38.354,1797324.9785
1641004200000,46843.0,46843.5,46742.0,46768.0,41.935,1960915.3455
1641005100000,46768.0,46837.0,46767.5,46802.5,13.427,628636.478
1641006000000,46802.5,46843.0,46782.0,46827.0,41.064,1921684.0005
1641006900000,46827.0,46882.5,46803.0,46808.5,77.848,3647729.0495
1641007800000,46808.5,46871.0,46808.5,46871.0,7.714,361253.833
1641008700000,46871.0,46879.0,46806.5,46807.0,73.777,3456040.152
1641009600000,46807.0,46846.5,46651.0,46651.0,38.611,1803490.455
1641010500000,46651.0,46699.5,46618.5,46688.0,33.141,1546052.6875
1641011400000,46688.0,46724.0,46653.0,46723.5,24.332,1135880.9345
1641012300000,46723.5,46799.0,46721.0,46721.0,16.561,774369.382
1641013200000,46721.0,46733.5,46687.0,46733.5,16.221,757617.791
1641014100000,46733.5,47489.0,46733.5,47392.5,129.422,6103914.891
1641015000000,47392.5,47538.0,47271.0,47319.0,35.97,1706117.929
1641015900000,47319.0,47319.0,47171.0,47185.0,27.132,1281622.2145
1641016800000,47185.0,47293.5,47115.0,47289.5,23.302,1099764.783
1641017700000,47289.5,47290.0,47109.5,47128.0,20.536,969031.0745
1641018600000,47128.0,47175.0,47109.0,47153.0,30.986,1460788.373
1641019500000,47153.0,47208.0,46973.0,46979.0,49.738,2341698.865
1641020400000,46979.0,47035.5,46935.0,46964.5,40.063,1882167.578
1641021300000,46964.5,47023.0,46964.5,46973.0,37.924,1781866.773
1641022200000,46973.0,47104.0,46956.5,47077.0,51.936,2441285.818
1641023100000,47077.0,47233.0,47076.5,47222.0,40.374,1902105.575
1641024000000,47222.0,47222.0,47099.0,47132.5,21.069,993382.756
1641024900000,47132.5,47330.0,47132.5,47324.0,40.9,1933111.491
1641025800000,47324.0,47324.0,47206.0,47211.0,21.798,1029865.3405
1641026700000,47211.0,47234.0,47086.5,47126.5,37.801,1782144.834
1641027600000,47126.5,47202.0,47079.5,47192.5,41.464,1955105.927
1641028500000,47192.5,47193.5,47074.0,47106.0,30.411,1434163.2655
1641029400000,47106.0,47106.0,46958.0,46961.0,68.903,3241742.28
1641030300000,46961.0,47111.0,46957.0,47111.0,36.454,1714626.5445
1641031200000,47111.0,47282.0,47111.0,47138.0,37.611,1775735.4145
1641032100000,47138.0,47138.0,46846.0,46891.0,54.088,2541530.0915
1641033000000,46891.0,47001.5,46745.0,46987.0,90.113,4220455.2175
1641033900000,46987.0,47054.5,46885.0,46885.0,50.402,2366833.214
1641034800000,46885.0,46932.0,46877.5,46906.5,29.277,1373092.4605
1641035700000,46906.5,46980.5,46906.5,46949.0,33.122,1555051.627
1641036600000,46949.0,46968.0,46851.0,46960.0,31.064,1457705.5955
1641037500000,46960.0,46961.5,46791.0,46791.0,119.341,5598221.941
1641038400000,46791.0,46966.5,46791.0,46966.5,83.246,3901542.4865
1641039300000,46966.5,46992.0,46912.0,46921.5,52.467,2462427.565
1641040200000,46921.5,47128.0,46921.5,47012.5,71.897,3382376.772
